837420,828972,6345,Israel,Jerusalem
3891063,3290715,117633,Italy,Roma
44254,19962,738,Jamaica,Kingston
544237,488788,9689,Japan,Tokyo
692181,649718,8372,Jordan,Amman
346971,303437,3297,Kazakhstan,Astana
152523,103838,2519,Kenya,Nairobi
115926,105877,1806,"Korea, South",Seoul
101832,88164,2105,Kosovo,
259868,243056,1468,Kuwait,Kuwait
92626,87390,1561,Kyrgyzstan,Bishkek
60,49,0,Laos,Vientiane
112983,102596,2079,Latvia,Riga
513006,432548,6995,Lebanon,Beirut
10720,5868,316,Lesotho,Maseru
2042,1899,85,Liberia,Monrovia
173089,158352,2919,Libya,Tripoli
2836,2698,56,Liechtenstein,Vaduz
236533,213970,3802,Lithuania,Vilnius
65319,61594,786,Luxembourg,Luxembourg [Luxemburg/L
9,7,2,MS Zaandam,
33202,26291,563,Madagascar,Antananarivo
33968,31810,1142,Malawi,Lilongwe
381813,358726,1400,Malaysia,Kuala Lumpur
26667,23803,71,Maldives,Male
13246,7613,444,Mali,Bamako
30039,29065,411,Malta,Valletta
4,4,0,Marshall Islands,Dalap-Uliga-Darrit
18156,17519,454,Mauritania,Nouakchott
1203,934,15,Mauritius,Port-Louis
2311172,1765244,213048,Mexico,Ciudad de M
1,1,0,Micronesia,
246691,233281,5616,Moldova,Chisinau
2413,2306,31,Monaco,Monaco-Ville
25364,13346,56,Mongolia,Ulan Bator
95894,91403,1441,Montenegro,
506669,492725,8959,Morocco,Rabat
69309,62323,802,Mozambique,Maputo
46875,44953,608,Namibia,Windhoek
287567,275806,3102,Nepal,Kathmandu
1442512,21845,17183,Netherlands,Amsterdam
2599,2490,26,New Zealand,Wellington
6835,4225,181,Nicaragua,Managua
5140,4795,191,Niger,Niamey
164423,154406,2061,Nigeria,Abuja
147995,124828,4509,North Macedonia,Skopje
108587,17998,709,Norway,Oslo
183770,163750,1926,Oman,Masqat
772381,672619,16600,Pakistan,Islamabad
361319,351228,6192,Panama,Ciudad de Panam
9952,846,91,Papua New Guinea,Port Moresby
255046,209754,5470,Paraguay,Asunci
1719088,1645100,57954,Peru,Lima
962307,829608,16265,Philippines,Manila
2718493,2366230,63473,Poland,Warszawa
831645,790118,16951,Portugal,Lisboa
198361,175431,391,Qatar,Doha
1034003,950242,26618,Romania,Bucuresti
4673699,4303376,104937,Russia,Moscow
24005,22560,327,Rwanda,Kigali
44,44,0,Saint Kitts and Nevis,Basseterre
4419,4265,69,Saint Lucia,Castries
1819,1686,10,Saint Vincent and the Grenadines,Kingstown
3,2,0,Samoa,Apia
5040,4755,88,San Marino,San Marino
2283,2219,35,Sao Tome and Principe,S
407010,390538,6846,Saudi Arabia,Riyadh
39836,38600,1095,Senegal,Dakar
667937,0,6058,Serbia,
5012,4535,25,Seychelles,Victoria
4041,2857,79,Sierra Leone,Freetown
60880,60540,30,Singapore,Singapore
377473,255300,11304,Slovakia,Bratislava
234067,217715,4176,Slovenia,Ljubljana
20,18,0,Solomon Islands,Honiara
13324,5518,678,Somalia,Mogadishu
1568366,1494630,53887,South Africa,Pretoria
10486,10250,114,South Sudan,Juba
3428354,150376,77102,Spain,Madrid
97472,93547,625,Sri Lanka,
33083,26248,2287,Sudan,Khartum
9687,8900,188,Suriname,Paramaribo
916830,0,13825,Sweden,Stockholm
639445,317600,10532,Switzerland,Bern
21433,15088,1468,Syria,Damascus
1078,1038,11,Taiwan*,
13308,13218,90,Tajikistan,Dushanbe
509,183,21,Tanzania,Dodoma
46643,26873,110,Thailand,Bangkok
1452,727,2,Timor-Leste,
12610,10350,121,Togo,Lom
9135,7996,157,Trinidad and Tobago,Port-of-Spain
289230,239104,9918,Tunisia,Tunis
4384624,3792129,36613,Turkey,Ankara
41422,40898,341,Uganda,Kampala
2027544,1563969,42565,Ukraine,Kyiv
500860,483180,1559,United Arab Emirates,Abu Dhabi
4408644,14054,127557,United Kingdom,London
169327,139590,2022,Uruguay,Montevideo
87551,84717,640,Uzbekistan,Toskent
3,1,0,Vanuatu,Port-Vila
185736,168418,1944,Venezuela,Caracas
2800,2490,35,Vietnam,Hanoi
284280,251663,3078,West Bank and Gaza,
5918,2281,1138,Yemen,Sanaa
91042,88900,1236,Zambia,Lusaka
37875,35058,1554,Zimbabwe,Harare
31793509,0,568475,US,Washington
143022878,81993136,3046432,Global,
